"B CELL","CAF","ENDOTHELIAL","MACROPHAGE","MALIGNANT","NK","T CD4","T CD8","T CELL","STROMA","IMMUNE","T CD4 EXHAUSTED","T CD4 NAIVE","T CD4 TREG","T CD8 CYTOTOXIC","T CD8 EXHAUSTED","T CD8 NAIVE"
"CD37","C1R","BCR","AMICA1","ANP32A","IL18RAP","FAAH2","GPR171","CD5","COL4A1","CD37","METTL8","NAP1L1","IL10RA","","CTLA4","SORL1"
"CD52","C1S","BMPR2","AMPD3","AP1S2","IL2RB","FAM102A","GZMK","CD6","COL4A2","CD48","MRP63","NOSIP","IL1R2","","CXCL13","TCF7"
"CD79A","CALD1","BMX","ANKRD22","APEH","KIR2DL3","FBLN7","IFNG","CD7","COL6A2","CD52","NFATC1","PABPC1","IL2RA","","DENND2D","TSC22D3"
"CD79B","CCDC80","CALCRL","AP1B1","APOA1BP","KIR3DL2","FLT3LG","ITGA4","CD96","COX7A1","CD53","NR3C1","PIK3IP1","IL2RG","","DFNB31","UBA52"
"CHMP7","CD248","CARD10","APOC1","APOC2","KLRB1","FOXP3","ITGAE","CDC42SE2","CTGF","CD69","PDCD1","SELL","IL32","","DGKH",""
"CIITA","CDH11","CASKIN2","AQP9","APOD","KLRC1","FYB","ITM2A","CELF2","CYB5R3","CD84","PTPN11","SERINC5","LAIR2","","DOCK8",""
"CLEC17A","CDR1","CCL14","ARAP1","APOO","KLRD1","ICOS","JAKMIP1","CNOT6L","CYR61","CDC42SE2","PTPRC","SF1","LAYN","","DTHD1",""
"CNR2","CERCAM","CD200","ARHGAP18","ARPC1A","KLRF1","IL6R","KLHL28","CORO1A","DCHS1","CELF2","RNF19A","TCF7","LOC541471","","DUSP4",""
"COL19A1","CILP","CD34","ARHGAP27","ATIC","MATK","IL7R","LAG3","CST7","DPYSL3","CNTRL","SARDH","TMEM66","LTB","","ELF1",""
"COL4A3","CKAP4","CD93","ARHGEF10L","ATP1A1","MYBL1","ITGB2-AS1","LYST","CTLA4","EFEMP1","CORO1A","SLA","TPT1","PARK7","","ENTPD1",""
"CR2","CLEC11A","CDH5","ARPC1B","ATP5C1","NCAM1","ITK","MAP4K1","CXCR3","EHD2","CSK","SRGN","TRABD2A","PIM2","","FAM122C",""
"CXCR5","CLIP3","CFI","ARRB2","ATP5G1","NCR1","LAT","MCOLN2","CXCR6","ELN","CXCR4","TBC1D4","TSC22D3","PMAIP1","","FAM3C",""
"CYBASC3","CNN1","CLDN15","ASAH1","ATP5G2","NCR3","LEPROTL1","MIAT","CYTIP","EPAS1","CYTH4","THADA","TXNIP","PPP2CA","","FAM73A",""
"EEF1B2","COL11A1","CLDN5","ATF5","ATP5G3","NKG7","LOC100128420","MIR155HG","DEF6","FAM171A1","CYTIP","TIGIT","UBA52","RASGRP1","","FBXL18",""
"EEF1G","COL12A1","CLEC14A","ATG3","ATP6V1C1","NMUR1","LOC285740","NELL2","DENND2D","FAP","DEF6","TSPYL2","","RORA","","FCRL3",""
"EIF2S3","COL14A1","CLEC1A","ATG7","ATP6V1E1","PRF1","MAF","PAG1","EMB","FAT4","DENND1C","ZNF211","","RTKN2","","GBP2",""
"ELK2AP","COL16A1","CNTNAP3B","ATP6AP1","ATP6V1G1","PTGDR","MAL","PCED1B","EVL","FBN1","DOCK2","","","S100A4","","GDPD1",""
"FAIM3","COL1A1","COL15A1","ATP6V0B","BAIAP2","PTPN4","PASK","PDCD1","FYB","FLRT2","DOCK8","","","SAMD9","","GLUD1P7",""
"FAM129C","COL1A2","COL4A1","ATP6V0D1","BANCR","SAMD3","PBX4","PRDM1","FYN","FSCN1","DUSP2","","","STAM","","HAVCR2",""
"FAM65B","COL3A1","COL4A2","ATP6V1B2","BCAN","SH2D1B","PBXIP1","PTPN7","GATA3","FSTL1","EVI2B","","","SUMO2","","HINT3",""
"FCER2","COL5A1","CRIP2","ATP6V1F","BCAS3","TXK","PIK3IP1","RAB27A","GNG2","GJA1","FERMT3","","","TNFRSF18","","HNRPLL",""
"FCRL1","COL5A2","CXorf36","BACH1","BCL2L13","XCL1","PIM2","RNF19A","GPR171","GNG11","FGD3","","","USP15","","IFNLR1",""
"FCRL2","COL6A1","CYYR1","BCKDHA","BIRC7","XCL2","SEPT6","SIRPG","GPR174","HSPG2","FNBP1","","","WDR1","","IL10",""
"FCRL5","COL6A2","DARC","BCL2A1","BZW2","","SLAMF1","SIT1","GPRIN3","HTRA1","GBP5","","","ZBTB32","","INPP4B",""
"FCRLA","COL6A3","DCHS1","BID","C10orf90","","SPOCK2","SNAP47","GRAP2","IFITM3","GPR65","","","","","INPP5F",""
"GGA2","COL8A1","DLL4","BLOC1S1","C11orf31","","SUSD3","THEMIS","GZMA","IGF2","GPSM3","","","","","ITGA4",""
"GNB2L1","COMP","DOCK6","BLVRA","C17orf89","","TBC1D4","TIGIT","GZMM","IGFBP4","HCLS1","","","","","ITM2A",""
"HLA-DOB","CPE","DOCK9","BLVRB","C1orf43","","TCF7","TIMD4","HNRNPA1P10","IGFBP7","HMHA1","","","","","ITPKB",""
"HLA-DQA2","CPXM1","DYSF","C10orf54","C1orf85","","TESPA1","TMEM155","ICOS","JAG1","IKZF1","","","","","KIAA1324",""
"HVCN1","CPZ","ECE1","C11orf75","C1QBP","","TIAM1","TNFRSF9","IL12RB1","KIAA1217","IL10RA","","","","","LAG3",""
"IGJ","CRABP2","ECSCR","C15orf48","C22orf32","","TMEM66","TNIP3","IL21R","LAMB1","IL16","","","","","LINC00294",""
"IGLL1","CREB3L1","EFNA1","C19orf38","C4orf48","","TNFAIP3","TOX","IL2RB","LAMB2","IL2RG","","","","","LOC100131257",""
"IGLL3P","CRISPLD2","EFNB2","C1orf162","CA14","","TNFSF8","TTC24","IL2RG","LAMC1","INPP5D","","","","","LOC100190986",""
"IGLL5","CTSK","EGFL7","C1QA","CA8","","TNIK","TTN","IL32","LEPROT","ITGA4","","","","","LOC100271836",""
"IRF8","CXCL12","ELK3","C1QB","CACYBP","","TPT1","ZBED2","INPP4B","LHFP","ITGAL","","","","","LOC286186",""
"KBTBD8","CXCL14","ELTD1","C1QC","CAPN3","","","","IPCEF1","LIMCH1","ITGB2","","","","","LOC440354",""
"KIAA0125","CYBRD1","EMCN","C2","CBX3","","","","ITGAL","LIMS2","LAIR1","","","","","LOC728558",""
"KIAA0226L","CYGB","ENG","C3AR1","CCND1","","","","ITK","LMCD1","LAPTM5","","","","","LYST",""
"LOC283663","CYP1B1","EPAS1","C5AR1","CCT2","","","","JAK3","LOXL2","LCP1","","","","","MAPK13",""
"LRMP","DCN","EPB41L4A","C9orf72","CCT3","","","","KCNA3","LPHN2","LILRB3","","","","","MCL1",""
"MS4A1","DDAH1","EPHB4","CAPG","CCT4","","","","LAT","LRRC32","LIMD2","","","","","MTX3",""
"NAPSB","DDR2","ERG","CAPZA2","CCT6A","","","","LCK","MAP1B","LPXN","","","","","NFATC1",""
"NCF1C","DEPTOR","ESAM","CARD9","CCT8","","","","LIME1","MEOX2","LSP1","","","","","NXNL2",""
"NCOA3","DKK3","EXOC3L1","CASP1","CDH19","","","","LOC100130231","MGP","LY9","","","","","ODF2L",""
"P2RX5","DPT","F11R","CAT","CDH3","","","","MBOAT1","MMP2","MAP4K1","","","","","OSBPL3",""
"PAX5","EBF2","FABP4","CCDC88A","CDK2","","","","MIAT","NFIB","MYO1G","","","","","PCED1B",""
"PLEKHF2","ECM2","FAM107A","CCR1","CDK4","","","","NLRC5","NID1","NCKAP1L","","","","","PCGF5",""
"PNOC","EDNRA","FAM65A","CCR2","CEP170","","","","PAG1","NNMT","NR4A2","","","","","PDCD1",""
"POLD4","EFEMP2","FAT4","CCRL2","CHCHD6","","","","PARP8","NPDC1","PARP8","","","","","PDE4D",""
"POU2AF1","EGFLAM","FGD5","CD14","CHD1L","","","","PCED1B","NR2F2","PARVG","","","","","PER2",""
"POU2F2","EGFR","FKBP1A","CD163","CLCN7","","","","PCED1B-AS1","NT5E","PIK3CD","","","","","PLEKHG2",""
"PRKCB","EMILIN1","FLI1","CD1D","CLNS1A","","","","PDCD1","NUAK1","PIM2","","","","","PRICKLE2-AS3",""
"QRSL1","FAT1","FLT4","CD274","CMC2","","","","PIP4K2A","PEAR1","PLCB2","","","","","PTPRC",""
"RALGPS2","FBLN1","FZD6","CD300C","COA3","","","","PRDM1","PHLDB2","PLEKHA2","","","","","RAB27A",""
"RHOH","FBLN2","GALNT18","CD300E","COA4","","","","PRF1","PLSCR4","PRKCB","","","","","RAMP2-AS1",""
"SEL1L3","FBLN5","GATA2","CD300LB","COA6","","","","PRKCQ","PPAP2A","PSD4","","","","","RGS1",""
"SELL","FGF7","GIPC2","CD300LF","COX5B","","","","PTPN22","PPAP2B","PSTPIP2","","","","","RNF19A",""
"SMIM14","FIBIN","GNG11","CD302","COX6A1","","","","PTPN7","PPIC","PTK2B","","","","","SCD5",""
"SNX29","FMOD","GPR116","CD33","COX7A2","","","","PTPRC","PRKCDBP","PTPN22","","","","","SF3B3",""
"SNX29P1","FN1","GPR146","CD68","COX7A2L","","","","PYHIN1","PROCR","PTPN6","","","","","SH2D2A",""
"SP110","FNDC1","GRB10","CD80","COX7C","","","","RASAL3","PRSS23","PTPN7","","","","","SMG1P1",""
"SP140","FRMD6","GUK1","CD86","COX8A","","","","RASGRP1","PTRF","PTPRC","","","","","STAT1",""
"SPIB","FST","HECW2","CECR1","CSAG1","","","","RGS1","PXDN","RAC2","","","","","STAT3",""
"ST6GAL1","FSTL1","HERC2P2","CFD","CSAG2","","","","RHOF","RAB11FIP5","RASSF5","","","","","TANGO2",""
"STAG3","GEM","HID1","CFP","CSAG3","","","","RNF213","RABAC1","RCSD1","","","","","TATDN3",""
"STAP1","GFPT2","HSPG2","CLEC10A","CSPG4","","","","SCML4","RBPMS","RGS1","","","","","TBXA2R",""
"STRBP","GFRA1","HYAL2","CLEC12A","CYC1","","","","SEPT1","RUNX1T1","RHOH","","","","","TIGIT",""
"TCL1A","GLT8D2","ICA1","CLEC4A","CYP27A1","","","","SH2D1A","S100A16","RPS6KA1","","","","","TMEM136",""
"TLR10","GPC1","ID1","CLEC4E","DAAM2","","","","SH2D2A","SERPINH1","SAMSN1","","","","","TMEM212",""
"TLR9","GPC4","ID3","CLEC5A","DANCR","","","","SH3KBP1","SPARC","SASH3","","","","","TNFRSF1B",""
"TMEM154","GPC6","IFITM3","CLEC7A","DAP3","","","","SIRPG","SPARCL1","SLA","","","","","TNFRSF9",""
"TNFRSF13B","GPR133","IGFBP7","CMKLR1","DCT","","","","SIT1","STC2","SNX20","","","","","TP53INP1",""
"TP53INP1","GPR176","IL33","CMTM6","DCXR","","","","SKAP1","TFPI","SP140","","","","","TRAF5",""
"VPREB3","GPX8","IL3RA","CNDP2","DDIT3","","","","SLC9A3R1","TGFB1I1","STK17B","","","","","TTN",""
"WDFY4","HSPB2","IPO11-LRRC70","CNPY3","DDT","","","","SPATA13","THBS1","TAGAP","","","","","TXNDC11",""
"ZCCHC7","HSPB6","ITGA5","CORO7","DLL3","","","","SPN","THY1","TBC1D10C","","","","","USP33",""
"","HSPB7","ITGA6","CPVL","DNAH14","","","","SPOCK2","TMEM204","TMC6","","","","","VSIG1",""
"","HTRA3","ITGB4","CREG1","DNAJA4","","","","STAT4","TNKS1BP1","TMC8","","","","","VSTM4",""
"","IGFBP6","JAG2","CSF1R","DRG1","","","","SYTL3","TNXB","TMSB4X","","","","","ZNF620",""
"","INHBA","JAM2","CSF2RA","EDNRB","","","","TBC1D10C","TPBG","TRAF3IP3","","","","","ZNF79",""
"","ISLR","JUP","CSF3R","EIF3C","","","","TC2N","UNC5B","TSC22D3","","","","","",""
"","ITGA11","KANK3","CST3","EIF3D","","","","TESPA1","VCL","TSTD1","","","","","",""
"","ITGB5","KDR","CSTA","EIF3E","","","","THEMIS","ZEB1","UCP2","","","","","",""
"","ITGBL1","KLHL3","CTSA","EIF3H","","","","TIGIT","ZNF423","VAV1","","","","","",""
"","KDELR2","LAMA5","CTSB","EIF3L","","","","TMEM66","ZNF521","WIPF1","","","","","",""
"","KDELR3","LDB2","CTSC","EIF3M","","","","TNFAIP3","","","","","","","",""
"","LARP6","LOC100505495","CTSD","ENO1","","","","TOX","","","","","","","",""
"","LEPREL2","LRRC70","CTSH","ENO2","","","","TRAF1","","","","","","","",""
"","LMO7","LUZP1","CTSL1","ENTPD6","","","","TRAT1","","","","","","","",""
"","LMOD1","LYVE1","CTSS","EPB41L4A-AS1","","","","TTC39C","","","","","","","",""
"","LOX","MALL","CXCL10","ERBB3","","","","TUBA4A","","","","","","","",""
"","LOXL1","MANSC1","CXCL16","ESRP1","","","","UBASH3A","","","","","","","",""
"","LPAR1","MECOM","CXCL9","ETV4","","","","WIPF1","","","","","","","",""
"","LTBP2","MEOX1","CXCR2P1","ETV5","","","","ZAP70","","","","","","","",""
"","LUM","MKL2","CYB5R4","EXOSC4","","","","ZC3HAV1","","","","","","","",""
"","LURAP1L","MMRN1","CYBA","FAH","","","","","","","","","","","",""
"","MAP1A","MMRN2","CYBB","FAHD2B","","","","","","","","","","","",""
"","MEG3","MPZL2","CYP2S1","FAM103A1","","","","","","","","","","","",""
"","MFAP4","MTUS1","DAPK1","FAM162A","","","","","","","","","","","",""
"","MGST1","MYCT1","DBNL","FAM178B","","","","","","","","","","","",""
"","MIR100HG","MYO15B","DENND1A","FARP2","","","","","","","","","","","",""
"","MMP2","NOS3","DHRS9","FASN","","","","","","","","","","","",""
"","MOXD1","NOSTRIN","DMXL2","FBXO32","","","","","","","","","","","",""
"","MRC2","NOTCH4","DNAJC5B","FBXO7","","","","","","","","","","","",""
"","MRGPRF","NPDC1","DOK1","FDFT1","","","","","","","","","","","",""
"","MSC","NPR1","DOK3","FKBP4","","","","","","","","","","","",""
"","MT1M","NR5A2","DPYD","FMN1","","","","","","","","","","","",""
"","MXRA5","PALD1","EBI3","FXYD3","","","","","","","","","","","",""
"","MXRA8","PALMD","EMR2","GALE","","","","","","","","","","","",""
"","MYL9","PCDH1","EPSTI1","GAPDH","","","","","","","","","","","",""
"","NEXN","PCDH12","ETV6","GAPDHS","","","","","","","","","","","",""
"","NID2","PCDH17","EVI2A","GAS2L3","","","","","","","","","","","",""
"","NOTCH3","PDE2A","F13A1","GAS5","","","","","","","","","","","",""
"","NTM","PDLIM1","FAM105A","GAS7","","","","","","","","","","","",""
"","NTRK2","PECAM1","FAM157B","GCSH","","","","","","","","","","","",""
"","NUPR1","PGM5","FAM26F","GDF15","","","","","","","","","","","",""
"","OGN","PIEZO1","FAM49A","GJB1","","","","","","","","","","","",""
"","OLFML1","PIK3R3","FAM96A","GMNN","","","","","","","","","","","",""
"","OLFML2B","PKP4","FBP1","GMPR","","","","","","","","","","","",""
"","OLFML3","PLEKHA7","FCER1G","GPATCH4","","","","","","","","","","","",""
"","OMD","PLVAP","FCGR1A","GPM6B","","","","","","","","","","","",""
"","OSR2","PLXNA2","FCGR1B","GPR137B","","","","","","","","","","","",""
"","PALLD","PLXND1","FCGR1C","GPR143","","","","","","","","","","","",""
"","PAMR1","PODXL","FCGR2A","GPS1","","","","","","","","","","","",""
"","PAPSS2","PPM1F","FCGR2C","GSTP1","","","","","","","","","","","",""
"","PCDH18","PPP1R13B","FCGR3B","GTF2F2","","","","","","","","","","","",""
"","PCOLCE","PRCP","FCGRT","GYG2","","","","","","","","","","","",""
"","PCOLCE2","PREX2","FCN1","H2AFZ","","","","","","","","","","","",""
"","PDGFRA","PTPRB","FERMT3","HAX1","","","","","","","","","","","",""
"","PDGFRB","PVRL2","FES","HDDC2","","","","","","","","","","","",""
"","PDGFRL","PXN","FGL2","HIST1H2AC","","","","","","","","","","","",""
"","PDLIM2","RALGAPA2","FKBP15","HIST1H2BD","","","","","","","","","","","",""
"","PLA2G2A","RAMP2","FLVCR2","HIST3H2A","","","","","","","","","","","",""
"","PLAC9","RAMP3","FOLR2","HMG20B","","","","","","","","","","","",""
"","PLOD2","RAPGEF3","FPR1","HMGA1","","","","","","","","","","","",""
"","PODN","RAPGEF4","FPR2","HPS4","","","","","","","","","","","",""
"","POSTN","RASIP1","FPR3","HPS5","","","","","","","","","","","",""
"","PPIB","RBP7","FTH1","HSBP1","","","","","","","","","","","",""
"","PRR16","RGL2","FTL","HSP90AA1","","","","","","","","","","","",""
"","PRR24","RHOJ","FUCA1","HSP90AB1","","","","","","","","","","","",""
"","PRRX1","ROBO4","FUOM","HSPA4","","","","","","","","","","","",""
"","PRRX2","S1PR1","GAA","HSPA9","","","","","","","","","","","",""
"","PTN","SCARF1","GABARAP","HSPD1","","","","","","","","","","","",""
"","RARRES2","SDPR","GALC","HSPE1","","","","","","","","","","","",""
"","RCN3","SELE","GATM","HSPH1","","","","","","","","","","","",""
"","ROR2","SELP","GBP1","IGSF11","","","","","","","","","","","",""
"","SCUBE3","SH3BGRL2","GCA","IGSF3","","","","","","","","","","","",""
"","SDC1","SHROOM4","GGTA1P","IGSF8","","","","","","","","","","","",""
"","SDC2","SLC29A1","GK","ILF2","","","","","","","","","","","",""
"","SEC24D","SLC9A3R2","GLA","IMMP2L","","","","","","","","","","","",""
"","SEMA5A","SLCO2A1","GLB1","INPP5F","","","","","","","","","","","",""
"","SERPINF1","SMAD1","GLRX","IRF4","","","","","","","","","","","",""
"","SFRP2","SNCG","GLUL","ISYNA1","","","","","","","","","","","",""
"","SFRP4","SOCS2","GM2A","KCNJ13","","","","","","","","","","","",""
"","SH2D4A","SOX18","GNA13","LAGE3","","","","","","","","","","","",""
"","SH3D19","SPNS2","GNA15","LDHB","","","","","","","","","","","",""
"","SH3PXD2A","STOM","GPBAR1","LHFPL3-AS1","","","","","","","","","","","",""
"","SLIT2","SULF2","GPR34","LINC00473","","","","","","","","","","","",""
"","SLIT3","SYNPO","GPR84","LINC00518","","","","","","","","","","","",""
"","SMOC2","TACR1","GPX1","LINC00673","","","","","","","","","","","",""
"","SOD3","TAOK2","GRN","LOC100126784","","","","","","","","","","","",""
"","SPARC","TEAD4","GSTO1","LOC100127888","","","","","","","","","","","",""
"","SPOCK1","TEK","H2AFY","LOC100130370","","","","","","","","","","","",""
"","SPON1","TENC1","HCAR2","LOC100133445","","","","","","","","","","","",""
"","SRPX2","TFF3","HCAR3","LOC100505865","","","","","","","","","","","",""
"","STEAP1","TGFBR2","HCK","LOC146481","","","","","","","","","","","",""
"","SULF1","TGM2","HEIH","LOC340357","","","","","","","","","","","",""
"","SUSD2","THBD","HERPUD1","LOXL4","","","","","","","","","","","",""
"","SVEP1","THSD1","HIST2H2BF","LSM2","","","","","","","","","","","",""
"","TAGLN","TIE1","HK2","LZTS1","","","","","","","","","","","",""
"","TBX15","TLL1","HK3","MAD2L1BP","","","","","","","","","","","",""
"","TCEAL7","TM4SF1","HLA-DMA","MAGEA12","","","","","","","","","","","",""
"","TGFB3","TM4SF18","HLA-DMB","MAGEA2","","","","","","","","","","","",""
"","THBS2","TMEM204","HLA-DPA1","MAGEA2B","","","","","","","","","","","",""
"","THY1","TMEM255B","HLA-DPB1","MAGEA3","","","","","","","","","","","",""
"","TIMP1","TNFAIP1","HLA-DPB2","MAGEA4","","","","","","","","","","","",""
"","TMEM119","TNFRSF10B","HLA-DQA1","MAGEA6","","","","","","","","","","","",""
"","TMEM45A","TSPAN12","HLA-DQB1","MAGEC1","","","","","","","","","","","",""
"","TPM1","TSPAN15","HLA-DRA","MAGED2","","","","","","","","","","","",""
"","TPM2","TSPAN18","HLA-DRB1","MDH1","","","","","","","","","","","",""
"","TWIST1","TSPAN7","HLA-DRB5","MDH2","","","","","","","","","","","",""
"","TWIST2","USHBP1","HLA-DRB6","METTL23","","","","","","","","","","","",""
"","UCHL1","VWA1","HMOX1","METTL9","","","","","","","","","","","",""
"","VASN","VWF","HN1","MFI2","","","","","","","","","","","",""
"","VCAN","ZNF366","HPS1","MIA","","","","","","","","","","","",""
"","WISP2","ZNF385D","HSPA6","MIF","","","","","","","","","","","",""
"","WNT2","","HSPA7","MITF","","","","","","","","","","","",""
"","","","HSPBAP1","MKI67IP","","","","","","","","","","","",""
"","","","IDH1","MLANA","","","","","","","","","","","",""
"","","","IFI30","MLPH","","","","","","","","","","","",""
"","","","IFI35","MOK","","","","","","","","","","","",""
"","","","IFIT2","MORN2","","","","","","","","","","","",""
"","","","IFNGR1","MRPL12","","","","","","","","","","","",""
"","","","IFNGR2","MRPL21","","","","","","","","","","","",""
"","","","IGFLR1","MRPL23","","","","","","","","","","","",""
"","","","IGSF6","MRPL24","","","","","","","","","","","",""
"","","","IL10RB","MRPL38","","","","","","","","","","","",""
"","","","IL18","MRPL40","","","","","","","","","","","",""
"","","","IL1B","MRPS21","","","","","","","","","","","",""
"","","","IL1RN","MRPS23","","","","","","","","","","","",""
"","","","IL4I1","MRPS25","","","","","","","","","","","",""
"","","","IL8","MRPS26","","","","","","","","","","","",""
"","","","IRF5","MRPS6","","","","","","","","","","","",""
"","","","IRF7","MSI2","","","","","","","","","","","",""
"","","","ITGAX","MTHFS","","","","","","","","","","","",""
"","","","JAK2","MXI1","","","","","","","","","","","",""
"","","","KCNMA1","MYO10","","","","","","","","","","","",""
"","","","KCNMB1","NARS2","","","","","","","","","","","",""
"","","","KYNU","NAV2","","","","","","","","","","","",""
"","","","LAIR1","NDUFA4","","","","","","","","","","","",""
"","","","LAP3","NDUFAF3","","","","","","","","","","","",""
"","","","LGALS2","NDUFB9","","","","","","","","","","","",""
"","","","LGALS9","NDUFS2","","","","","","","","","","","",""
"","","","LGMN","NEDD4L","","","","","","","","","","","",""
"","","","LILRA1","NELFCD","","","","","","","","","","","",""
"","","","LILRA2","NFYA","","","","","","","","","","","",""
"","","","LILRA3","NGRN","","","","","","","","","","","",""
"","","","LILRA4","NHP2","","","","","","","","","","","",""
"","","","LILRA5","NME1","","","","","","","","","","","",""
"","","","LILRA6","NOP58","","","","","","","","","","","",""
"","","","LILRB1","NPM1","","","","","","","","","","","",""
"","","","LILRB2","NSG1","","","","","","","","","","","",""
"","","","LILRB3","NT5DC3","","","","","","","","","","","",""
"","","","LILRB4","NUP93","","","","","","","","","","","",""
"","","","LILRB5","OCA2","","","","","","","","","","","",""
"","","","LIPA","PACSIN2","","","","","","","","","","","",""
"","","","LOC338758","PAFAH1B3","","","","","","","","","","","",""
"","","","LOC729737","PAGE5","","","","","","","","","","","",""
"","","","LRRC25","PAICS","","","","","","","","","","","",""
"","","","LST1","PAX3","","","","","","","","","","","",""
"","","","LTA4H","PEBP1","","","","","","","","","","","",""
"","","","LYN","PEG10","","","","","","","","","","","",""
"","","","LYZ","PEX19","","","","","","","","","","","",""
"","","","M6PR","PFDN2","","","","","","","","","","","",""
"","","","MAFB","PHACTR1","","","","","","","","","","","",""
"","","","MAN2B1","PHB","","","","","","","","","","","",""
"","","","MAPKAPK3","PHF5A","","","","","","","","","","","",""
"","","","MARCO","PHLDA1","","","","","","","","","","","",""
"","","","MERTK","PIGY","","","","","","","","","","","",""
"","","","MFSD1","PIR","","","","","","","","","","","",""
"","","","MGAT1","PLEKHB1","","","","","","","","","","","",""
"","","","MIF4GD","PLP1","","","","","","","","","","","",""
"","","","MIIP","PMEL","","","","","","","","","","","",""
"","","","MILR1","POLD2","","","","","","","","","","","",""
"","","","MKNK1","POLR2F","","","","","","","","","","","",""
"","","","MNDA","POMGNT1","","","","","","","","","","","",""
"","","","MOB1A","PPIL1","","","","","","","","","","","",""
"","","","MPEG1","PRAME","","","","","","","","","","","",""
"","","","MPP1","PRDX6","","","","","","","","","","","",""
"","","","MRC1","PSMB4","","","","","","","","","","","",""
"","","","MS4A4A","PSMB7","","","","","","","","","","","",""
"","","","MS4A6A","PSMD4","","","","","","","","","","","",""
"","","","MS4A7","PTTG1","","","","","","","","","","","",""
"","","","MSR1","PUF60","","","","","","","","","","","",""
"","","","MTHFD2","PYGB","","","","","","","","","","","",""
"","","","MTMR14","PYURF","","","","","","","","","","","",""
"","","","MX1","QDPR","","","","","","","","","","","",""
"","","","MX2","QPCT","","","","","","","","","","","",""
"","","","MXD1","RAB17","","","","","","","","","","","",""
"","","","MYD88","RAB38","","","","","","","","","","","",""
"","","","N4BP2L1","RABGGTB","","","","","","","","","","","",""
"","","","NAAA","RAD51C","","","","","","","","","","","",""
"","","","NADK","RAE1","","","","","","","","","","","",""
"","","","NAGA","RAN","","","","","","","","","","","",""
"","","","NAGK","RAP1GAP","","","","","","","","","","","",""
"","","","NAIP","RGS20","","","","","","","","","","","",""
"","","","NCF2","ROPN1","","","","","","","","","","","",""
